#c_date	cloud
120201470	0
120207673	0
120275515	0
120281679	0
120287844	0
120294008	0
120361965	0
120368091	0
120374218	0
120380344	0
120448417	0
120454505	0
120460593	0
120466681	0
120534868	0
120540918	0
120546969	0
120553019	0
120621320	0.125
120627332	0
120633345	0
120639357	0
120707773	0
120713748	0
120719722	0
120725697	0
120794226	0.25
120800163	0.375
120806101	0.75
120812038	0.875
120880680	0.375
120886580	0.125
120892480	0
120898380	0
120967135	0.25
120972998	0.125
120978860	0.125
120984723	0
121053589	0.875
121059415	0.5
121065241	0.75
121071067	1
121140045	0
121145834	0
121151624	0
121157413	0
121226500	0
121232253	0
121238006	0
121243759	0
121312957	0
121318674	0
121324390	0
121330107	0
121399413	0
121405094	0
121410775	0
121416456	0
121485870	0
121491516	0
121497161	0
121502807	0
121572328	0
121577938	0
121583549	0
121589159	0
121658785	0
121664361	0
121669936	0
121675512	0
121745243	0
121750784	0
121756325	0
121761866	0
121831701	0.25
121837208	0.25
121842716	0.125
121848223	0.125
121918160	0
121923633	0
121929107	0
121934580	0
122004619	0
122010059	0
122015499	0
122020939	0
122091078	0
122096485	0
122101893	0
122107300	0
122177537	0
122182912	0
122188287	0
122193662	0
122263996	0.125
122269339	0.125
122274683	0
122280026	0
122350455	0.125
122355767	0.125
122361079	0
122366391	0
122436914	0.125
122442196	0
122447477	0
122452759	0
122523373	0.125
122528624	0.125
122533876	0.125
122539127	0
122609832	0.125
122615054	0
122620276	0
122625498	0
122696291	0
122701484	0
122706677	0
122711870	0
122782750	0
122787915	0
122793079	0
122798244	0
122869209	0
122874346	0
122879483	0
122884620	0
122955667	0.25
122960777	0.125
122965888	0.125
122970998	0
123042125	0
123047209	0
123052294	0
123057378	0
123128583	0
123133642	0
123138700	0
123143759	0
123215040	0
123220074	0
123225109	0
123230143	0
123301497	0.125
123306507	0
123311518	0
123316528	0
123387954	0.125
123392941	0.125
123397929	0
123402916	0
123474409	0.125
123479374	0.125
123484340	0
123489305	0
123560864	0
123565808	0
123570752	0
123575696	0
123647319	0
123652242	0
123657166	0
123662089	0
123733773	0
123738677	0
